[11/08/23, 12:07:11 PM] VIT AP. (cse) Freshers place🥳🥳🥳🥳🥳: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[11/08/23, 12:07:11 PM] ~ TanK-human: ‎~ TanK-human created this group
[14/08/23, 6:48:04 PM] VIT AP. (cse) Freshers place🥳🥳🥳🥳🥳: ‎You joined from the community
[14/08/23, 6:48:04 PM] VIT AP. (cse) Freshers place🥳🥳🥳🥳🥳: ‎Anyone in the community “VIT AP” can request to join this group by messaging group admins.
[14/08/23, 6:49:03 PM] ~ Anish: ‎~ Anish joined using this group's invite link
[14/08/23, 6:49:05 PM] ~ Vikash: ‎~ Vikash joined from the community
[14/08/23, 6:50:14 PM] ~ Jithendra: Official i think so bro
[14/08/23, 6:50:31 PM] ~ Kaushik😁: Yaa bro
[14/08/23, 6:50:41 PM] ~ Anish: To fir dp looks unofficial
[14/08/23, 6:50:41 PM] ~ Kaushik😁: Seems to be official
[14/08/23, 6:50:54 PM] ~ Anish: Riyal*
[14/08/23, 6:51:34 PM] ~ Kushal: Even i got the same msg
[14/08/23, 6:52:53 PM] ~ Sumanth Reddy: ‎~ Sumanth Reddy joined from the community
[14/08/23, 6:51:42 PM] ~ Jithendra: Dont know exactly after some days we know weather it offical or unofficial
[14/08/23, 6:51:44 PM] ~ TanK-human: Guys better not to click the link
[14/08/23, 6:51:47 PM] ~ Kaushik😁: Bas mujhe iska meaning nahi pta
‎[14/08/23, 6:51:53 PM] ~ Kushal: ‎image omitted
[14/08/23, 6:51:53 PM] ~ Anish: I replied with Wheres the link
[14/08/23, 6:52:00 PM] ~ Kaushik😁: I joined it broo
[14/08/23, 6:52:00 PM] ~ Anish: Mujhe bhi
[14/08/23, 6:52:00 PM] ~ 👒Luffy 👒: ‎This message was deleted.
[14/08/23, 6:52:21 PM] ~ Kaushik😁: Should I exit that
[14/08/23, 6:52:31 PM] ~ Jithendra: Bro its unoffical
[14/08/23, 6:53:05 PM] ~ Anish: Is this official
‎[14/08/23, 6:53:06 PM] ~ Kushal: ‎image omitted
[14/08/23, 6:53:08 PM] ~ TanK-human: I mean, there are imposters , guys from companies not students are entering the group and may have our phone numbers it's risky
‎[14/08/23, 6:53:19 PM] ~ Jithendra: ‎image omitted
[14/08/23, 6:53:38 PM] ~ Jithendra: The creater
[14/08/23, 6:53:43 PM] ~ TanK-human: As I said
[14/08/23, 6:53:50 PM] ~ Kaushik😁: Haa ok
[14/08/23, 6:54:07 PM] ~ TanK-human: God is only creator 😇😇
[14/08/23, 6:54:19 PM] ~ Jithendra: Group creator
[14/08/23, 6:54:30 PM] ~ Kaushik😁: Your parents watching u broo
‎[14/08/23, 6:54:36 PM] ~ Jithendra: ‎image omitted
‎[14/08/23, 6:56:18 PM] Harsh Kumar: ‎image omitted
[14/08/23, 6:57:09 PM] ~ Jithendra: Max unoffical think so bro
[14/08/23, 6:57:25 PM] Harsh Kumar: How many groups are there ? 🙂
[14/08/23, 6:57:36 PM] ~ Kaushik😁: Call krke puch lo uske admin se
[14/08/23, 6:57:52 PM] Harsh Kumar: 😂😂
[14/08/23, 6:57:55 PM] ~ Jithendra: What are you talkinggggg
[14/08/23, 6:58:17 PM] ~ Jithendra: Did not understand but seems to bee comeidy
[14/08/23, 6:58:37 PM] ~ Kaushik😁: I told him to call and ask the admin
[14/08/23, 6:58:44 PM] ~ Jithendra: Ohh
[14/08/23, 7:10:52 PM] ~ Drashti: ‎~ Drashti joined from the community
[14/08/23, 7:56:10 PM] ~ Goel_chatty: ‎~ Goel_chatty joined from the community
[14/08/23, 8:06:17 PM] ~ Kowshik: ‎~ Kowshik joined from the community
‎[14/08/23, 8:08:19 PM] ~ Jithendra: ‎image omitted
‎[14/08/23, 8:08:21 PM] ~ Jithendra: ‎image omitted
[14/08/23, 8:08:40 PM] ~ Udveet P. Patil: Same messages
[14/08/23, 8:08:41 PM] ~ Udveet P. Patil: To me
[14/08/23, 8:08:56 PM] ~ Udveet P. Patil: Copy-paste
[14/08/23, 8:08:57 PM] ~ Jithendra: Ohh
[14/08/23, 8:09:12 PM] ~ Jithendra: Em chadham bro
‎[14/08/23, 8:09:13 PM] ~ Udveet P. Patil: ‎image omitted
[14/08/23, 8:09:18 PM] ~ Udveet P. Patil: ?
[14/08/23, 8:09:39 PM] ~ Jithendra: What should we do bro
[14/08/23, 8:09:49 PM] ~ Udveet P. Patil: I don't trust the link
[14/08/23, 8:09:53 PM] ~ Jithendra: Sorry i thougt you know telugu
[14/08/23, 8:09:58 PM] ~ Udveet P. Patil: If there was a meeting for us
[14/08/23, 8:10:07 PM] ~ Jithendra: Yes
[14/08/23, 8:10:11 PM] ~ Udveet P. Patil: Surely the college would officially let us know
[14/08/23, 8:10:13 PM] ~ Udveet P. Patil: Through a mail
[14/08/23, 8:10:18 PM] ~ Udveet P. Patil: It's okay
[14/08/23, 8:10:20 PM] ~ Jithendra: Yes bro
[14/08/23, 8:10:31 PM] ~ Udveet P. Patil: The weirdest part is
[14/08/23, 8:10:34 PM] ~ Udveet P. Patil: This same guy
[14/08/23, 8:10:40 PM] ~ Udveet P. Patil: Is in this group
[14/08/23, 8:10:50 PM] ~ Udveet P. Patil: But he isn't saying a word about it here
[14/08/23, 8:11:09 PM] ~ Akshath Kannan: Hello guys,

*Everyone kindly take the initiative and inform all the friends  from other department and section to join this group*, as all the official information will be getting posted in this group ,we request everyone kindly share and inform everyone to join the group

https://chat.whatsapp.com/D36KxTvcu3dCwlYNDzSHmq

*Note* - *Mandatory to join the group for all 1st year students*
[14/08/23, 8:11:16 PM] ~ Jithendra: Is he in the group
[14/08/23, 8:11:23 PM] ~ Akshath Kannan: Got this message in that group…
[14/08/23, 8:11:30 PM] ~ Udveet P. Patil: Yes
[14/08/23, 8:11:35 PM] ~ Udveet P. Patil: This is very strange
[14/08/23, 8:11:46 PM] ~ Jithendra: Ohh
[14/08/23, 8:12:05 PM] ~ Udveet P. Patil: I don't trust the message
[14/08/23, 8:12:17 PM] ~ Jithendra: We dont know weather he is senior or fresher
[14/08/23, 8:12:23 PM] ~ Jithendra: Hmm
[14/08/23, 8:12:25 PM] ~ Udveet P. Patil: He said he's an organiser
[14/08/23, 8:12:47 PM] ~ Jithendra: Organiser no he kept his name as student know bro
[14/08/23, 8:13:00 PM] ~ Akshath Kannan: Yea
[14/08/23, 8:13:50 PM] ~ Udveet P. Patil: What do you mean?
[14/08/23, 8:14:05 PM] ~ Jithendra: Leave it bro
[14/08/23, 8:14:23 PM] ~ Udveet P. Patil: Okay
[14/08/23, 8:14:54 PM] ~ Udveet P. Patil: You know some shource where I can learn basic telugu
[14/08/23, 8:14:59 PM] ~ Udveet P. Patil: *source
[14/08/23, 8:15:10 PM] ~ Akshath Kannan: Google translate 😌
[14/08/23, 8:18:36 PM] ~ Jithendra: When you come to vit you will get automatically bro no need to worry
[14/08/23, 8:46:28 PM] ~ Udveet P. Patil: Sure?
[14/08/23, 8:48:19 PM] ~Shiv: Yes
[14/08/23, 8:48:47 PM] ~Shiv: U Will learn Telugu unknowingly easily
[14/08/23, 9:19:36 PM] Krishan Jha (senior) : ‎Krishan Jha (senior)  joined from the community
[14/08/23, 9:18:36 PM] ~ TanK-human: If he's the group creator I think he is
[14/08/23, 9:19:27 PM] ~ TanK-human: Just talk to a guy who knows Telugu.
[14/08/23, 9:23:16 PM] ~ Naga Charan: ‎~ Naga Charan joined from the community
[14/08/23, 9:33:26 PM] ~ Jithendra: Yes bro ‎<This message was edited>
[14/08/23, 10:13:34 PM] ~ Pranay Kamble: ‎~ Pranay Kamble joined from the community
[14/08/23, 10:41:29 PM] ~ P_F025: ‎~ P_F025 joined from the community
[14/08/23, 10:49:49 PM] ~ Udveet P. Patil: Alright
[15/08/23, 12:23:19 AM] ~ Mitesh Sai Devar: ‎~ Mitesh Sai Devar joined from the community
[15/08/23, 1:04:41 AM] ~ 😎: ‎~ 😎 joined from the community
[15/08/23, 2:55:09 AM] ~ 💸𝑺𝒂𝒕𝒛𝒛𝒛𝒛𝒛: ‎~ 💸𝑺𝒂𝒕𝒛𝒛𝒛𝒛𝒛 joined from the community
[15/08/23, 8:11:49 AM] ~ Soham P: ‎~ Soham P joined from the community
